Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price,Brand & Model,LitersinEngine,State
Ssangyong,2022.0,Rexton,Sutherland Isuzu Ute,2022 Ssangyong Rexton Ultimate (awd),DEMO,Automatic,"4 cyl, 2.2 L",AWD,Diesel,8.7,5595.0,White,"Caringbah, NSW",4.0,SUV,4.0,7.0,51990.0,Ssangyong Rexton,2.2,NSW
MG,2022.0,MG3,Hatchback,2022 MG MG3 Auto Excite (with Navigation),USED,Automatic,"4 cyl, 1.5 L",Front,Premium,6.7,16.0,Black,"Brookvale, NSW",4.0,Hatchback,5.0,5.0,19990.0,MG MG3,1.5,NSW
BMW,2022.0,430I,Coupe,2022 BMW 430I M Sport,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6.6,8472.0,Grey,"Sylvania, NSW",4.0,Coupe,2.0,4.0,108988.0,BMW 430I,2.0,NSW
Mercedes-Benz,2011.0,E500,Coupe,2011 Mercedes-Benz E500 Elegance,USED,Automatic,"8 cyl, 5.5 L",Rear,Premium,11.0,136517.0,White,"Mount Druitt, NSW",8.0,Coupe,2.0,4.0,32990.0,Mercedes-Benz E500,5.5,NSW
Renault,2022.0,Arkana,SUV,2022 Renault Arkana Intens,USED,Automatic,"4 cyl, 1.3 L",Front,Unleaded,6.0,1035.0,Grey,"Castle Hill, NSW",4.0,SUV,4.0,5.0,34990.0,Renault Arkana,1.3,NSW
Land,2017.0,Rover,SUV,2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.1,67662.0,White,"Blacktown, NSW",4.0,SUV,2.0,4.0,62280.0,Land Rover,2.0,NSW
Nissan,2000.0,Pulsar,Hatchback,2000 Nissan Pulsar LX,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,8.0,300539.0,Red,"Wentworthville, NSW",4.0,Hatchback,5.0,5.0,2995.0,Nissan Pulsar,1.6,NSW
Toyota,2013.0,86,Coupe,2013 Toyota 86 GT,USED,Automatic,"4 cyl, 2 L",Rear,Premium,7.1,82012.0,Black,"Mcgraths Hill, NSW",4.0,Coupe,2.0,4.0,24888.0,Toyota 86,2.0,NSW
Honda,2014.0,Jazz,Hatchback,2014 Honda Jazz Hybrid,USED,Automatic,"4 cyl, 1.3 L",Front,Hybrid,4.5,38229.0,Blue,"Lidcombe, NSW",4.0,Hatchback,5.0,5.0,17900.0,Honda Jazz,1.3,NSW
Toyota,2018.0,HiAce,Commercial,2018 Toyota HiAce LWB,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,9.8,16324.0,White,"Lidcombe, NSW",4.0,Commercial,4.0,2.0,41999.0,Toyota HiAce,2.7,NSW
Toyota,2016.0,HiAce,Commercial,2016 Toyota HiAce LWB,USED,Automatic,"4 cyl, 3 L",Rear,Diesel,8.0,229829.0,White,"Lidcombe, NSW",4.0,Commercial,4.0,2.0,27995.0,Toyota HiAce,3.0,NSW
Volkswagen,2012.0,Golf,Hatchback,2012 Volkswagen Golf 90 TSI Trendline,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,6.2,55676.0,White,"Five Dock, NSW",4.0,Hatchback,5.0,5.0,14999.0,Volkswagen Golf,1.4,NSW
BMW,2014.0,X3,SUV,2014 BMW X3 Xdrive 20D,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,5.6,82624.0,Black,"Haberfield, NSW",4.0,SUV,4.0,5.0,24985.0,BMW X3,2.0,NSW
BMW,2011.0,118D,Hatchback,2011 BMW 118D,USED,Automatic,"4 cyl, 2 L",Rear,Diesel,5.4,95204.0,Silver,"Five Dock, NSW",4.0,Hatchback,5.0,5.0,13999.0,BMW 118D,2.0,NSW
Ford,2014.0,Fiesta,Hatchback,2014 Ford Fiesta Sport,USED,Automatic,"3 cyl, 1 L",Front,Unleaded,5.4,76289.0,White,"Cabramatta, NSW",3.0,Hatchback,5.0,5.0,12400.0,Ford Fiesta,1.0,NSW
Mitsubishi,2012.0,Outlander,SUV,2012 Mitsubishi Outlander LS (4X4),USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,7.5,219681.0,Black,"Blacktown, NSW",4.0,SUV,4.0,7.0,13999.0,Mitsubishi Outlander,2.4,NSW
Ford,2013.0,Fiesta,Hatchback,2013 Ford Fiesta Zetec,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.1,98079.0,Blue,"Blacktown, NSW",4.0,Hatchback,5.0,5.0,11999.0,Ford Fiesta,1.6,NSW
Volkswagen,2023.0,Amarok,Alto Volkswagen New Cars,2023 Volkswagen Amarok Style TDI600 4Motion,NEW,Automatic,"6 cyl, 3 L",AWD,Diesel,8.4,15.0,White,"Blacktown, NSW",6.0,Ute / Tray,4.0,5.0,83887.0,Volkswagen Amarok,3.0,NSW
Honda,2018.0,Jazz,Hatchback,2018 Honda Jazz VTI,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,5.8,43274.0,Silver,"Castle Hill, NSW",4.0,Hatchback,5.0,5.0,19900.0,Honda Jazz,1.5,NSW
Subaru,2012.0,Outback,SUV,2012 Subaru Outback 2.5I,USED,Automatic,"4 cyl, 2.5 L",AWD,Premium,8.4,105672.0,Black,"Glebe, NSW",4.0,SUV,4.0,5.0,17990.0,Subaru Outback,2.5,NSW
Mitsubishi,2018.0,Mirage,Hatchback,2018 Mitsubishi Mirage ES,USED,Automatic,"3 cyl, 1.2 L",Front,Unleaded,4.7,36836.0,Black,"Camden, NSW",3.0,Hatchback,5.0,5.0,14995.0,Mitsubishi Mirage,1.2,NSW
Toyota,2005.0,Camry,Sedan,2005 Toyota Camry Altise,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,9.8,115821.0,Silver,"Lansvale, NSW",4.0,Sedan,4.0,5.0,8499.0,Toyota Camry,2.4,NSW
Hyundai,2011.0,I45,Sedan,2011 Hyundai I45 Active,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,7.9,189711.0,Silver,"Croydon, NSW",4.0,Sedan,4.0,5.0,12990.0,Hyundai I45,2.4,NSW
Ford,2015.0,Territory,SUV,2015 Ford Territory TS (rwd),USED,Automatic,"6 cyl, 2.7 L",Rear,Diesel,8.2,173786.0,Blue,"Blacktown, NSW",6.0,SUV,4.0,7.0,16999.0,Ford Territory,2.7,NSW
Nissan,2018.0,Qashqai,SUV,2018 Nissan Qashqai ST,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9,114301.0,Blue,"Pendle Hill, NSW",4.0,SUV,4.0,5.0,21950.0,Nissan Qashqai,2.0,NSW
Volkswagen,2013.0,Golf,Hatchback,2013 Volkswagen Golf GTI,USED,Manual,"4 cyl, 2 L",Front,Premium,6.6,69197.0,Black,"Blacktown, NSW",4.0,Hatchback,5.0,5.0,24880.0,Volkswagen Golf,2.0,NSW
Hyundai,2015.0,Tucson,SUV,2015 Hyundai Tucson Active (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9,94377.0,Grey,"Mcgraths Hill, NSW",4.0,SUV,4.0,5.0,23888.0,Hyundai Tucson,2.0,NSW
Ford,2016.0,Focus,Hatchback,2016 Ford Focus Trend,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.2,94965.0,White,"Blacktown, NSW",4.0,Hatchback,5.0,5.0,16999.0,Ford Focus,1.5,NSW
Nissan,2019.0,X-Trail,SUV,2019 Nissan X-Trail ST 7 Seat (2WD),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,8.1,99294.0,Grey,"Blacktown, NSW",4.0,SUV,4.0,7.0,24490.0,Nissan X-Trail,2.5,NSW
Toyota,2021.0,Corolla,Hatchback,2021 Toyota Corolla ZR Hybrid,USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,4.2,13694.0,Black,"Blacktown, NSW",4.0,Hatchback,5.0,5.0,44878.0,Toyota Corolla,1.8,NSW
Toyota,2007.0,Yaris,Sedan,2007 Toyota Yaris YRS,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.7,264691.0,Silver,"Lansvale, NSW",4.0,Sedan,4.0,5.0,7949.0,Toyota Yaris,1.5,NSW
Toyota,2010.0,Corolla,Hatchback,2010 Toyota Corolla Conquest,USED,Manual,"4 cyl, 1.8 L",Front,Unleaded,7.7,238270.0,Grey,"Smithfield, NSW",4.0,Hatchback,5.0,5.0,8800.0,Toyota Corolla,1.8,NSW
